name,kal
곶감샐러드,223.18
김치전,282.27
깻잎전,361.1
낙지꼬지,75.2
녹두빈대떡,207.94
다시마전,79.18
단호박전,309.89
달걀말이,175.57
돔베기적,159
동그랑땡,309.2
동태전,268.05
돼지고기 찹쌀부침,342.42
두부 달걀전,179.66
두부 해산물 꼬치구이,182.16
두부전,255
떡갈비,677.36
마 두부 오징어전,172.1
미나리전,226.5
배추전,240
버섯전,240
부추전,253.5
소라산적,120
쇠고기산적,454
오징어산적,101.6
치킨 쇠고기 땅콩소스 꼬치,148.44
케첩완자,141.85
파전,292.8
해물파전,276.18
햄부침,244.44
호박전,208.5
홍어적,89
홍합산적,156.8
화양적,272.65
가지볶음,110.79
감자볶음,116.25
건새우볶음,65.73
고추잡채,256.77
궁중 떡볶음,202.82
김자반,45
김치볶음,97.04
깻잎볶음,103.07
꽃게볶음,108.73
낙지볶음,186.83
닭갈비(춘천),558.47
돼지갈비 볶음,151.15
돼지고기볶음,350.67
돼지고기볶음 오징어,181.7
돼지고기토마토두부볶음,157.15
돼지껍데기볶음,234.47
두부김치,288.21
떡볶이,303.53
라볶이,40.32
마파두부,227.93
멸치풋고추볶음,52.38
미역줄기볶음,66.49
버섯볶음 느타리,90.69
버섯볶음 양송이,90.98
브로콜리쇠고기볶음,123.9
섭산삼,233.03
소고기 채소볶음,189.93
소세지볶음,235.69
순대볶음,145.38
시금치돼지고기볶음,104.77
쌀국수 볶음면,211.89
아시아식 채소 두부 볶음,275
야채볶음,90.81
야채오믈렛,158.15
어묵볶음,189.07
오징어볶음,120.51
오징어채볶음,55.49
잔멸치볶음,68.41
잡채,204.32
조랭이 떡 궁중 떡볶이,217.45
주꾸미볶음,211.41
칠리새우,174.67
토마토소스달걀볶음,111.22
팔보채,240.74
팽이버섯야채볶음,82.58
표고버섯볶음,141.92
해물볶음,419.06
해산물볶음,119.07
헝가리안 폭찹,294.86
화지타,196.55
가자미조림(간장+고춧가루+기타양념),297.98
갈치조림,97.04
고기완두조림,183.01
고등어조림,130.16
곤약 콩조림,96.03
과일 주스 조림,174.29
다시마돼지고기조림,115.71
돼지고기메추리알장조림,63.49
두부 튀김 조림,220.56
두부조림,69.25
땅콩조림,81.34
부추조갯살 콩비지조림,35.67
북어조림,181.86
소고기메추리알장조림,60.65
연근조림,78.24
오징어말이 케첩조림,152.09
우엉조림,69.75
콩조림,54.25
감자튀김,306.84
고구마 빠스,253.9
고구마맛탕,245.41
고구마튀김,253
김말이튀김,250.65
깐풍기,588.72
난자완스,346.25
닭강정,310.25
닭튀김 양념,276.03
도라지 검은깨 튀김,133.46
등심돈가스,623.83
똥집튀김(대구동구),468.37
라조기,398.99
레몬 파슬리 빵가루를 입힌 도미,88.31
멸치찹쌀 양념튀김,194.1
모듬탕수,116.59
미꾸라지튀김,387.49
삼색 콩튀김,251.33
새우튀김,301.23
생강향의 고구마 크로켓,204.53
생선까스,653.44
수삼당근정과,110.12
안심돈가스,651.75
오징어튀김,308.2
쥐포튀김,357
채소튀김,320.66
치즈돈가스,755.37
치즈스틱,38.86
치킨까스,593
탕수육,456.72
파마산치즈를 가미한 커틀렛,417.86
치킨,683
황태강정,229.28
가지나물,23
고구마줄기나물,61.92
고사리나물,45.5
도라지나물,56
머위나물,71.69
무나물,33
미나리나물,29.5
숙주나물,20
시래기나물,47.5
취나물,74
콩나물,25.5
감자냉채,44.12
겉절이 배추,44.3
겉절이 상추,68.07
골뱅이무침,108.79
과일 요구르트 샐러드,77.29
구운 닭고기 샐러드와 저나트륨 과일드레싱,245.43
구운 닭고기를 곁들인 두부 샐러드,122.74
김무침,85.62
낙지 잣소스 냉채,225.66
노각무침,56.02
니스와 샐러드,91.99
단무지무침,40.88
달래무침,90.84
닭고기 샐러드,258.58
도라지생채,115.43
도토리묵,45.6
돼지고기 수육 부추무침,199.72
두부 다시마말이,80.65
두부선과 저나트륨 겨자 간장소스,120.82
마늘쫑무침,39.56
무말랭이무침,40.79
무생채,52.4
묵무침 청포묵,59.42
미역초무침,51.32
벤댕이무침(인천),600.01
부추무침,71.55
북어채무침,226.05
산마드레싱 실곤약 샐러드,96.56
상추 겉절이,18.91
서대회무침(여수),315.21
수삼 냉채,38.15
스테이크 샐러드,176.86
쑥갓무침,63.71
아보카도 두부 샐러드,425.3
아시아식 국수 샐러드,276.16
양상추와 닭고기 요리,78.44
양장피,229.75
얼갈이 무침,71.47
연어냉채,128.91
오이 초절임,194
오이생채,47.35
오이선,67.43
오이지무침,72.03
이태리식 해산물 샐러드,127.57
쥐치채,55.92
참기름 드레싱의 즉석 샐러드,75.86
카프라제,158.21
탕평채,97
태국식 불고기 샐러드,88.69
파래무침,34.51
파무침,87.19
펜네 파스타 샐러드,212.82
허브 마리네이드 참치 샐러드,235.69
호두 사과 샐러드,109.55
홍어회무침,198.94
갓김치,29.18
고들빼기,55.53
깍두기,18.33
깻잎김치,87.42
나박김치,13.72
동치미,15.21
배추김치,19.13
백김치,9.35
부추김치,68.55
열무김치,16.77
열무얼갈이김치,17.68
오이소박이,17.38
총각김치,18.63
파김치,29.54
간장게장,302.16
양념게장,279.63
고추장아찌,21.63
깻잎장아찌,35.32
마늘장아찌,16.84
매실장아찌,72.88
무장아찌,23.92
양배추 깻잎 피클,15.26
양파장아찌,39.4
오이피클,18.4
복숭아샤벳,146.21
서양식 씨리얼(뮤즐리),158.6
식혜 팥빙수,135.85
홍시쉐이크,69.72
수정과,133.5
식혜,130.5
우유생강차,108
복숭아화채,72.8
수박화채,125.83
오렌지,44.44
과일 젤리,140.45
두부양갱,66.62
딸기잼,48.6
가래떡,208.2
고구마경단,208.96
고구마란,165.97
고구마쑥단자,149.93
고추 장떡,250.36
김치떡,301.77
꿀떡,217.8
녹두시루떡,246
떡 메밀전병,168
떡 송편(깨),224
떡 송편(콩),194
떡 수수부꾸미,248
떡 수수팥떡,204
떡 쑥떡,249
떡경단(깨),319
떡경단(콩),314
떡기피편,220
모듬옥수수,127.26
모듬찰떡,222.91
무지개떡,228.97
백설기,159.79
시루떡,217.48
약식,244.38
인절미,220.95
절편,192.89
증편,192.73
찹쌀떡,276.87
초당순두부(강릉),522.69
닭고기 양배추 쌈,193.7
참치 소고기 양상추 쌈,180.72
낙지강회,51.65
대구포,141
돼지고기 머리고기,324.88
북어포,66.4
어묵,12.72
육회,229.91
1955 버거,1246.84
2014 랏츠버거,1132.01
辛리브샌드,903.06
갈릭스테이크하우스버거,208.78
그릴디럭스버거,773.4
그릴맥스버거,1298.93
닭고기살코기 치킨텐더즈(4pieces)(버거킹),290
닭고기살코기 치킨텐더즈(6pieces)(버거킹),299
닭고기살코기 치킨텐더즈(9pieces)(버거킹),285
더불치즈버거,270.23
더불치즈와퍼,274.49
더블 디럭스 슈프림버거,1398.08
더블 쿼터파운더치즈,262.04
더블치즈버거,739.64
데리버거,453.13
디럭스 슈프림 버거,772.24
디럭스 치즈버거,603.63
라이스버거(불고기),1124.84
랏츠버거,295.24
레이디샌드위치,971.8
로스트 갈릭버거,638.55
로얄그릴드 치킨버거,192.11
리치버거,800.99
맥더블,603
맥스파이시 더블 케이준 버거,1374.72
맥스파이시 상하이 디럭스,1147.2
맥스파이시 상하이 버거,1014.6
맥스파이시 케이준 버거,796
맥치킨,609.62
맥치킨버거,612.88
미니언 슈비 버거,1104.95
바베큐 불고기 버거,677.32
베이컨 토마토 디럭스버거,1246.3
베이컨갈릭징거버거,1036.13
불갈비버거,645.84
불고기버거,294.08
불고기와퍼쥬니어,601.13
불고기치킨 크리스피 버거,302.49
불고기크리스피치킨버거,617.4
불새버거,937.03
빅맥,1086.3
빵크로아쌍 소시지크라상(버거킹),349
사이다사이다 사이다(R)(버거킹),165
상하이 스파이스 치킨 버거,208.76
새우버거,484.84
소스류머스터드소스 HoneyMustard(버거킹),321
쉬림프징거버거,687.29
스위피버거,674.16
스파이시 텐더크리스피 버거,275.85
싱글즈불고기 버거,519.03
야채라이스불고기,222.94
양파링튀긴것양파링튀긴것 어니언링(L)(버거킹),397
양파링튀긴것양파링튀긴것 어니언링(R)(버거킹),404
어린이불고기버거,503.3
오렌지쥬스농축과즙 오렌지주스(버거킹),150
오징어버거,485.24
와일드쉬림프버거,1073.51
와퍼주니어,630.42
우리한우버거,204.2
울트라치킨,951.72
자이언트더블버거,973.68
징거버거,766.67
치즈버거,345.42
치즈징거버거,847.64
치킨버거,514.29
치킨불고기버거,499.63
치킨휠레샌드위치,193.16
커피여과액 커피(버거킹),160
케이준통샌드위치,237.34
콜라다이어트콜라 다이어트(R)(버거킹),4
콜라일반콜라 코카콜라(R)(버거킹),150
쿼터파운더치즈,266.48
쿼터파운더치즈버거,1030.31
타바스코맛샌드위치,494.45
텐더그릴치킨,646.33
텐더그릴치킨버거,219.36
토마토 치즈버거,655.22
토마토케첩토마토케첩 케첩(버거킹),107
통새우버거,199.59
트위스터,664.9
파이사과파이 애플파이(버거킹),266
한우불고기주니어,734.62
핫크리스피버거,955.7
해쉬브라운해쉬브라운 해쉬브라운(버거킹),320
햄버거,370.26
햄버거일반버거 더블와퍼(버거킹),264
햄버거일반버거 와퍼(버거킹),244
햄버거일반버거 와퍼쥬니어(버거킹),253
햄버거일반버거 햄버거(버거킹),267
햄버거치즈버거 베이컨더블치즈버거(버거킹),301
햄버거치즈버거 치즈버거(버거킹),271
햄버거치즈버거 치즈와퍼햄버거(버거킹),258
햄버거치킨버거 치킨버거(버거킹),310
햄버거치킨버거 치킨와퍼(버거킹),215
햄버거휘시버거 BK휘시휠레햄버거(버거킹),286
후렌치후라이가공품 일반후렌치후라이(L)(버거킹),347
후렌치후라이가공품 일반후렌치후라이(R)(버거킹),345
휠레샌드위치,764.4
2in1(한우불고기+밤스위트골드) F,737.26
2in1(한우불고기+밤스위트골드) L,662.84
2in1(한우불고기+밤스위트골드) R,382.55
SOME(썸)  로스트 치킨파오(L),811.2
SOME(썸)  로스트 치킨파오(M),247.8
SOME(썸) BBQ 콤보(L),661.76
SOME(썸) BBQ 콤보(M),731.24
SOME(썸) 더블 포테이토(L),880.59
SOME(썸) 더블 포테이토(M),265
SOME(썸) 발사믹 로스트 비프(L),611.78
SOME(썸) 발사믹 로스트 비프(M),682.65
SOME(썸) 수퍼슈프림(L),630.99
SOME(썸) 수퍼슈프림(M),685.56
SOME(썸) 직화 불고기(L),613.47
SOME(썸) 직화 불고기(M),674.7
SOME(썸) 칠리 쉬림프(L),566.15
SOME(썸) 칠리 쉬림프(M),684.32
SOME(썸) 페퍼로니(L),398.52
SOME(썸) 페퍼로니(M),459.36
SOME(썸) 허니크림치즈(L),446.4
SOME(썸) 허니크림치즈(M),533.12
갈릭스테이크 (씬) M,237.76
갈릭스테이크피자 (씬 L),373.18
갈릭스테이크피자 (씬 M),433.79
갈릭스테이크피자 (오리지널 L),641.59
